spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
roads,chaotic arrangement,difficulty in navigation,negative,202103_113.9068788_22.564466399999997.png
buildings,lack of order,confusion in movement,negative,202103_113.9068788_22.564466399999997.png
traffic lights,some order,facilitated crossing,positive,202103_113.9068788_22.564466399999997.png
pedestrian crossings,sense of safety,encouraged walking,positive,202103_113.9068788_22.564466399999997.png
layout,sense of order,navigate easily,positive,202103_113.9089658_22.4956331.png
buildings,overall structure,feel organized,positive,202103_113.9089658_22.4956331.png
trees,planned environment,enhance understanding,positive,202103_113.9089658_22.4956331.png
streetlights,safety and clarity,promote movement,positive,202103_113.9089658_22.4956331.png
road,degree of order,navigate easily,positive,202103_113.9143308_22.5359747.png
sidewalks,sense of organization,promote walking,positive,202103_113.9143308_22.5359747.png
construction,visual clutter,distracted attention,negative,202103_113.9143308_22.5359747.png
buildings,lack of unity,hesitant movement,negative,202103_113.9143308_22.5359747.png
trees,disorder,avoidance of areas,negative,202103_113.9143308_22.5359747.png
trees,sense of order,easier navigation,positive,202103_113.9159635_22.4858451.png
buildings,coherence,understanding physical arrangement,positive,202103_113.9159635_22.4858451.png
sidewalks,predictability,comfort in movement,positive,202103_113.9159635_22.4858451.png
roads,clear organization,navigate effectively,positive,202103_113.9173027_22.521099399999997.png
buildings,sense of disruption,avoid areas under construction,negative,202103_113.9173027_22.521099399999997.png
vehicles,visual complexity,hesitate to move,negative,202103_113.9173027_22.521099399999997.png
people,constant movement,engage in social interactions,neutral,202103_113.9173027_22.521099399999997.png
road,sense of order,navigate easily,positive,202103_113.9184169_22.553542899999993.png
buildings,well-organized environment,feel secure,positive,202103_113.9184169_22.553542899999993.png
trees,logical arrangement,enjoy surroundings,positive,202103_113.9184169_22.553542899999993.png
roads,sense of order,navigate effectively,positive,202103_113.9143614_22.489441899999996.png
sidewalks,sense of safety,walk comfortably,positive,202103_113.9143614_22.489441899999996.png
buildings,structured environment,engage with space,positive,202103_113.9143614_22.489441899999996.png
traffic signals,organized system,follow traffic rules,positive,202103_113.9143614_22.489441899999996.png
crosswalks,safe crossing,cross streets,positive,202103_113.9143614_22.489441899999996.png
signage,clear navigation,find directions,positive,202103_113.9143614_22.489441899999996.png
green spaces,enhanced tranquility,relax and unwind,positive,202103_113.9143614_22.489441899999996.png
intersection,reasonable coherence,navigate effectively,positive,202103_113.9199618_22.496713399999997.png
roads,clear layout,follow traffic rules,positive,202103_113.9199618_22.496713399999997.png
signals,visible guidance,make informed decisions,positive,202103_113.9199618_22.496713399999997.png
buildings,aligned structure,feel organized,positive,202103_113.9199618_22.496713399999997.png
construction,temporary disruption,exercise caution,negative,202103_113.9199618_22.496713399999997.png
crosswalks,safe passage,cross the street,positive,202103_113.9199618_22.496713399999997.png
lanes,organized system,drive smoothly,positive,202103_113.9199618_22.496713399999997.png
roads,sense of order,organized movement,positive,202103_113.9210713_22.513636199999997.png
buildings,coherent cityscape,visual appreciation,positive,202103_113.9210713_22.513636199999997.png
signage,clarity in navigation,informed decision-making,positive,202103_113.9210713_22.513636199999997.png
traffic lights,safety awareness,cautious crossing,positive,202103_113.9210713_22.513636199999997.png
pedestrian crossings,ease of movement,confident walking,positive,202103_113.9210713_22.513636199999997.png
road,sense of order,navigate easily,positive,202103_113.92463050000002_22.500260399999995.png
markings,clarity in arrangement,understand spatial relationships,positive,202103_113.92463050000002_22.500260399999995.png
hedges,well-maintained environment,enhance aesthetic appreciation,positive,202103_113.92463050000002_22.500260399999995.png
buildings,structured appearance,feel secure,positive,202103_113.92463050000002_22.500260399999995.png
roads,degree of order,navigate easily,positive,202103_113.9228765_22.525948399999997.png
overpass,sense of safety,cross streets,positive,202103_113.9228765_22.525948399999997.png
development,sense of overwhelm,hesitate to explore,negative,202103_113.9228765_22.525948399999997.png
buildings,sense of organization,easier navigation,positive,202103_113.9253774_22.496439900000002.png
sidewalks,clear structure,increased pedestrian activity,positive,202103_113.9253774_22.496439900000002.png
traffic lanes,orderly environment,enhanced safety,positive,202103_113.9253774_22.496439900000002.png
roadways,sense of order,navigate effectively,positive,202103_113.92717140000002_22.5002718.png
crossings,sense of safety,cross streets confidently,positive,202103_113.92717140000002_22.5002718.png
buildings,eclectic organization,explore diverse architecture,neutral,202103_113.92717140000002_22.5002718.png
construction,disarray,avoid areas under development,negative,202103_113.92717140000002_22.5002718.png
road,sense of order,navigate effectively,positive,202103_113.928851_22.557925799999996.png
lanes,predictability,follow traffic rules,positive,202103_113.928851_22.557925799999996.png
signals,awareness of traffic,stop or go,positive,202103_113.928851_22.557925799999996.png
landscaping,aesthetic appeal,enjoy surroundings,positive,202103_113.928851_22.557925799999996.png
roads,sense of order,easier navigation,positive,202103_113.9279679314043_22.503264673633566.png
sidewalks,sense of order,easier navigation,positive,202103_113.9279679314043_22.503264673633566.png
traffic,sense of order,easier navigation,positive,202103_113.9279679314043_22.503264673633566.png
infrastructure,coherent environment,increased understanding,positive,202103_113.9279679314043_22.503264673633566.png
elements,coherent environment,increased understanding,positive,202103_113.9279679314043_22.503264673633566.png
roads,sense of order,easier navigation,positive,202103_113.92869280000001_22.5503963.png
buildings,predictable arrangement,enhanced understanding,positive,202103_113.92869280000001_22.5503963.png
trees,visual clarity,increased comfort,positive,202103_113.92869280000001_22.5503963.png
traffic signals,sense of safety,compliance with traffic rules,positive,202103_113.92869280000001_22.5503963.png
road signs,clear guidance,improved decision-making,positive,202103_113.92869280000001_22.5503963.png
infrastructure,organized environment,facilitated movement,positive,202103_113.92869280000001_22.5503963.png
intersection,sense of order,navigate efficiently,positive,202103_113.9300789_22.4932089.png
buildings,structured environment,feel safe,positive,202103_113.9300789_22.4932089.png
traffic,moderate coherence,follow traffic rules,neutral,202103_113.9300789_22.4932089.png
construction,disruption,avoid area,negative,202103_113.9300789_22.4932089.png
street,sense of order,easier navigation,positive,202103_113.9291089_22.578710199999996.png
buildings,structured environment,enhanced understanding,positive,202103_113.9291089_22.578710199999996.png
infrastructure,predictability,increased comfort,positive,202103_113.9291089_22.578710199999996.png
road,sense of clear organization,navigate efficiently,positive,202103_113.9323061_22.5492064.png
buildings,feeling of orderliness,engage with surroundings,positive,202103_113.9323061_22.5492064.png
landscaping,sense of maintenance,enjoy outdoor spaces,positive,202103_113.9323061_22.5492064.png
layout,sense of order,easier navigation,positive,202103_113.9319545_22.571548400000005.png
landscaping,visual harmony,increased comfort,positive,202103_113.9319545_22.571548400000005.png
infrastructure,predictability,enhanced understanding,positive,202103_113.9319545_22.571548400000005.png
traffic,functional clarity,improved safety,positive,202103_113.9319545_22.571548400000005.png
overpass,sense of security,encouraged walking,positive,202103_113.9319545_22.571548400000005.png
layout,sense of order,navigate efficiently,positive,202103_113.93536795937055_22.561162273779612.png
architecture,coherence,engage with surroundings,positive,202103_113.93536795937055_22.561162273779612.png
markings,clarity,follow traffic rules,positive,202103_113.93536795937055_22.561162273779612.png
street,sense of order,navigate effectively,positive,202103_113.93672068874504_22.570695090848403.png
buildings,structured environment,engage with surroundings,positive,202103_113.93672068874504_22.570695090848403.png
trees,calmness,relax and enjoy,positive,202103_113.93672068874504_22.570695090848403.png
vehicles,busy atmosphere,stay alert,neutral,202103_113.93672068874504_22.570695090848403.png
